conversation_id,index,turn_id,speaker,utterance,label,label_name
081126008,0,081126008_0,b,yes,ackn,Acknowledge
081126008,1,081126008_1,b,do you want my phone number,reqDirect,Request Direct
081126008,2,081126008_2,a,that's fine,accept,Accept
081126008,3,081126008_3,a,yes,direct,Direct
081126008,4,081126008_4,b,it's well i've got telephone bill off you this morning and i've only just noticed there's a charge for um a double socket and a telephone i've actually paid for this off my credit card it's a long story i ordered i originally ordered the telephone and gave a credit card number and my card was declined when i rang up um when i rang to find out why she said oh well your card's been declined i rang and she said oh gave us the wrong expiry date so i ordered another yes they did i was very annoyed brand new card i only had it a fortnight i was gonna tell them where to stick it but i thought anyone can make a mistake so it doesn't matter so i rings up orders another phone paid for it with my credit card um got the phone and everything then i gets a letter off yourself saying please re-order your phone so i rang up and i said i've got one i said and actually the first order was cancelled so she went through and i went can you make sure i'm not going to be charged for phones she said yeah that's fine um got me second card it's paid for and everything on my credit card and now i've just got it deducted out me telephone bill the same phone,inform,Inform
081126008,5,081126008_5,a,yeah,backch,Backchannel
081126008,6,081126008_6,a,yeah,backch,Backchannel
081126008,7,081126008_7,a,thank you,thank,Thank
081126008,8,081126008_8,a,how can i help you,offer,Offer
081126008,9,081126008_9,b,well,init,Initialise
081126008,10,081126008_10,b,i've got telephone bill off you this morning,inform,Inform
081126008,11,081126008_11,b,and i've only just noticed there's a charge for um a double socket and a telephone,inform,Inform
081126008,12,081126008_12,b,i've actually paid for this off my credit card,inform,Inform
081126008,13,081126008_13,b,it's a long story,inform,Inform
081126008,14,081126008_14,b,i ordered i originally ordered the telephone and gave a credit card number,inform,Inform
081126008,15,081126008_15,b,and my card was declined,inform,Inform
081126008,16,081126008_16,b,when i rang up um when i rang to find out why she said oh well your card's been declined,inform,Inform
081126008,17,081126008_17,b,i rang and she said oh gave us the wrong expiry date,inform,Inform
081126008,18,081126008_18,b,so,init,Initialise
081126008,19,081126008_19,b,i ordered another,inform,Inform
081126008,20,081126008_20,a,mm mm,backch,Backchannel
081126008,21,081126008_21,a,so,init,Initialise
081126008,22,081126008_22,a,they declined it for that mm,confirm,Confirm
081126008,23,081126008_23,b,yes,ackn,Acknowledge
081126008,24,081126008_24,b,they did,inform,Inform
081126008,25,081126008_25,b,i was very annoyed,inform,Inform
081126008,26,081126008_26,b,brand new card,inform,Inform
081126008,27,081126008_27,b,i only had it a fortnight,inform,Inform
081126008,28,081126008_28,b,i was gonna tell them where to stick it but i thought anyone can make a mistake so it doesn't matter,expressOpinion,Express Opinion
081126008,29,081126008_29,b,so,init,Initialise
081126008,30,081126008_30,b,i rings up,inform,Inform
081126008,31,081126008_31,b,orders another phone,inform,Inform
081126008,32,081126008_32,b,paid for it with my credit card um,inform,Inform
081126008,33,081126008_33,b,got the phone and everything,inform,Inform
081126008,34,081126008_34,b,then i gets a letter off yourself saying please re-order your phone,inform,Inform
081126008,35,081126008_35,b,so,init,Initialise
081126008,36,081126008_36,b,i rang up and i said,inform,Inform
081126008,37,081126008_37,a,mm,backch,Backchannel
081126008,38,081126008_38,a,i've got one,complete,Complete
081126008,39,081126008_39,b,i've got one i said and actually the first order was cancelled,inform,Inform
081126008,40,081126008_40,b,so,init,Initialise
081126008,41,081126008_41,b,she went through and i went can you make sure i'm not going to be charged for phones,inform,Inform
081126008,42,081126008_42,b,she said yeah that's fine um,inform,Inform
081126008,43,081126008_43,b,got me second card it's paid for and everything on my credit card,inform,Inform
081126008,44,081126008_44,b,and now,refer,Refer
081126008,45,081126008_45,b,i've just got it deducted out me telephone bill the same phone,inform,Inform
081126008,46,081126008_46,a,oh right,ackn,Acknowledge
081126008,47,081126008_47,a,just bear with me,hold,Hold
081126008,48,081126008_48,a,right,init,Initialise
081126008,49,081126008_49,a,i've got your details in front of me,inform,Inform
081126008,50,081126008_50,a,would you just confirm your full name address and post code,reqInfo,Request Inform
081810011,0,081810011_0,b,hi,greet,Greet
081810011,1,081810011_1,b,it's at in um i've just had exactly calls um to a female member of staff in the office and somebody seems to be heavy breathing now they're all in um within a space of a minute with each one but um when i've tried to do it's saying number withheld is there any way we can trace that caller right right yeah it it's the main number that comes in but uh the female officers they answer it first and then they'll divert it through to us it is yeah right yeah okay then thanks very much thanks bye,identifySelf,Identify Self
081810011,2,081810011_2,a,hello there,greet,Greet
081810011,3,081810011_3,b,um i've just had exactly calls um to a female member of staff in the office,inform,Inform
081810011,4,081810011_4,b,and somebody seems to be heavy breathing,inform,Inform
081810011,5,081810011_5,b,now,init,Initialise
081810011,6,081810011_6,b,but um when i've tried to do it's saying number withheld is there any way we can trace that caller right right yeah it it's the main number that comes in but uh the female officers they answer it first and then they'll divert it through to us it is yeah right yeah okay then thanks very much thanks bye,inform,Inform
081810011,7,081810011_7,b,it's saying number withheld,inform,Inform
081810011,8,081810011_8,b,is there any way we can trace that caller,reqInfo,Request Inform
081810011,9,081810011_9,a,right,backch,Backchannel
081810011,10,081810011_10,a,oh dear,backch,Backchannel
081810011,11,081810011_11,a,right,backch,Backchannel
081810011,12,081810011_12,a,right,init,Initialise
081810011,13,081810011_13,a,we wouldn't be able to trace them now once once the call's been made,answ,Answer
081810011,14,081810011_14,a,we can't put trace it back to a withheld number,answElab,Answer Elaborate
081810011,15,081810011_15,b,right,ackn,Acknowledge
081810011,16,081810011_16,a,i mean if you know it were to persist,inform,Inform
081810011,17,081810011_17,a,we then could get our nuisance call bureau to put a trace on the line to see where it's coming from,inform,Inform
081810011,18,081810011_18,a,it's to one is it,reqInfo,Request Inform
081810011,19,081810011_19,a,to the main number there or is it an extension,reqInfo,Request Inform
081810011,20,081810011_20,b,right,backch,Backchannel
081810011,21,081810011_21,b,yeah,answ,Answer
081810011,22,081810011_22,b,it it's the main number that comes in,answElab,Answer Elaborate
081810011,23,081810011_23,b,but uh the female officers they answer it first,answElab,Answer Elaborate
081810011,24,081810011_24,b,and then they'll divert it through to us,answElab,Answer Elaborate
081810011,25,081810011_25,a,right,backch,Backchannel
081810011,26,081810011_26,a,yeah yeah,ackn,Acknowledge
081810011,27,081810011_27,a,i understand,ackn,Acknowledge
081810011,28,081810011_28,a,right,ackn,Acknowledge
081810011,29,081810011_29,a,is it's a business line i presume is it,reqInfo,Request Inform
081810011,30,081810011_30,b,it is,answ,Answer
081810011,31,081810011_31,b,yeah,answ,Answer
081810011,32,081810011_32,a,you can have a word with business on,suggest,Suggest
081810011,33,081810011_33,a,you know once the call's gone we can't sort of trace it,inform,Inform
081810011,34,081810011_34,a,but the nuisance call bureau might be able to help in that direction but if you speak to business on they'll be able to advise you more and then perhaps put you through to nuisance calls alright thanks bye,expressPossibility,Express Possibility
081810011,35,081810011_35,a,but if you speak to business on they'll be able to advise you more and then perhaps put you through to nuisance calls alright thanks bye,suggest,Suggest
081810011,36,081810011_36,b,right,backch,Backchannel
081810011,37,081810011_37,b,yeah,ackn,Acknowledge
081810011,38,081810011_38,a,they'll be able to advise you more and then perhaps put you through to nuisance calls,inform,Inform
081810011,39,081810011_39,b,okay then thanks very much thanks bye,ackn,Acknowledge
081810011,40,081810011_40,b,thanks very much,thank,Thank
081810011,41,081810011_41,a,alright,ackn,Acknowledge
081810011,42,081810011_42,b,thanks,thank,Thank
081810011,43,081810011_43,b,bye,bye,Bye
081810011,44,081810011_44,a,thanks,thank,Thank
081810011,45,081810011_45,a,bye,bye,Bye
082338006,0,082338006_0,b,oh hi,greet,Greet
082338006,1,082338006_1,b,um i phoned up yesterday and asked for my phone to be disconnected,inform,Inform
082338006,2,082338006_2,b,is it too late to change my mind,reqInfo,Request Inform
082338006,3,082338006_3,a,oh right,ackn,Acknowledge
082338006,4,082338006_4,a,no,answ,Answer
082338006,5,082338006_5,a,when were you when were you wanting disconnected,reqInfo,Request Inform
082338006,6,082338006_6,b,um well,init,Initialise
082338006,7,082338006_7,b,they said it would be days from when i asked,inform,Inform
082338006,8,082338006_8,a,oh right,backch,Backchannel
082338006,9,082338006_9,a,okay,ackn,Acknowledge
082338006,10,082338006_10,a,no,answ,Answer
082338006,11,082338006_11,a,that's fine,answElab,Answer Elaborate
082338006,12,082338006_12,a,what's your telephone number please,reqInfo,Request Inform
082338006,13,082338006_13,b,it's thank you thanks hello,answ,Answer
082338006,14,082338006_14,a,yeah,backch,Backchannel
082338006,15,082338006_15,a,yeah,backch,Backchannel
082338006,16,082338006_16,a,thank you,thank,Thank
082338006,17,082338006_17,a,can you confirm your name and address for me please,reqInfo,Request Inform
082338006,18,082338006_18,a,right,ackn,Acknowledge
082338006,19,082338006_19,a,if you just bear with me,hold,Hold
082338006,20,082338006_20,a,i'll go through to that department and get them to check it,informIntent,Inform Intention
082338006,21,082338006_21,a,won't keep you a minute,hold,Hold
